"And the more news this is a #PlanDemic
Colorado amends coronavirus death count - says fewer have died of COVID-19 than previously reported

https://t.co/eRoa9L9yS1";#PlanDemic;guy_connor;2020-05-16 16:12:18;Las Vegas NV;
"@SebGorka 
just listened to your #Plandemic podcast.

https://t.co/smZJ7FZhMg

This isnt the First Time Nutjob ""journalists"" have Sided With Socialists.
JFK Put it Plainly.
We need a War Time Standard of Journalism.";#Plandemic;gravelmans1;2020-05-16 16:12:46;The Ironwood National Monument;
"@ANGIEBROOKS11 @MarkTaber_FII @mattblackie37 @stephane_ulrich @msjhaffey

What exactly is ""contingent"" charging (as a practice among FA's)?
https://t.co/f5YxbD6Xnr…
#pensionlife #scambusters #pensionfraud #scamdemic";#pensionlife|#scambusters|#pensionfraud|#scamdemic;ArkDisaster;2020-05-16 16:13:00;Granada, Spain;
plandemic*****;;luisaramirrez;2020-05-16 16:13:24;;
Who is Judy Mikovits the woman behind banned 'Plandemic' conspiracy video? https://t.co/SblE0KTW0Q via @nypost;;nbs8989;2020-05-16 16:13:26;;
@mariea1213 @HumanDrillBit @tonibaloney619 @charliekirk11 @mamendoza480 With mice and rats! Have your daughter (and btw congratulations on her achievement) explain this please. https://t.co/Z38BtstMSt;;davidfhayes;2020-05-16 16:13:53;Charlottesville, VA;
@ResistSister111 @KevinVesey They are protesting the fact that we are becoming Russia we have fascists using a #Plandemic to destroy small business and push us into a great depression.   Nothing in your text makes any sense at all.  This is America free speech right to protest ring any bells?;#Plandemic;BizarroWorld4;2020-05-16 16:14:00;;
Eva Bartlett is now posting Plandemic videos on YouTube bc of course she is. She was on the steering committee for the Hands off Syria Coalition and the Syria Solidarity Movement. She broke new trails for the White Helmets conspiracy theory circuit. Now she's peddling this crap. https://t.co/4HPi0ZnAmF;;areidross;2020-05-16 16:14:02;Portland, OR;
"@PinellasCoNews So does the #CoronaHoax ""virus "" carry a ruler?";#CoronaHoax;osei1977;2020-05-16 16:14:10;England, United Kingdom;
@conspirator0 WW2...Nazi playbook We’re  doing this to keep you safe. Essential workers can live (work) propaganda blasted in the streets( stores) to brainwash Jews (you) into compliance just wear this patch(mask)..wake up!!! This is not about a virus and you are falling for it! #CovidHoax;#CovidHoax;ColSpringsAnon;2020-05-16 16:14:12;United States;
"@cjdtwit @michsm30 We were fortunate enough to keep our health care plan but our premiums went from $1045/mo (2 people) to $2932/mo. 

More people need to wake up to the real #scamdemic: #CorruptDemocrats 
#WalkAway";#scamdemic:|#CorruptDemocrats|#WalkAway;daigoro1715;2020-05-16 16:14:16;California;
